cement,slag,ash,water,superplastic,coarseagg,fineagg,age,strength
299,0,0,179,0.9,879,937,28,24.71
301,0,0,173,0.903,863,961,28,25.69
309,0,0,184,0.92,975,821,28,22.16
308,0,0,184,0.62,860,927,28,23.73
289,0,0,174,0.86,900,933,28,20.79
315,0,0,190,0.47,862,904,28,23.54
302,0,0,183,0.91,860,926,28,22.56
334,0,0,160,1,995,818,28,28.34
349,0,0,169,1.05,937,832,28,27.75
349,0,0,169,1.047,952,835,28,29.13
308,0,0,154,1.54,984,887,28,27.85
384,0,0,163,2.3,1006,785,28,28.44
349,0,0,169,1.05,959,832,28,27.16
341,0,0,168,1.02,996,816,28,27.46
321,0,0,156,1.61,957,884,28,33.34
344,0,0,168,1.02,915,893,28,32.36
336,0,0,167,1.01,925,862,28,30.4
330,0,0,165,0.99,978,824,28,30.11
338,0,0,162,1.69,1050,780,28,32.75
347,0,0,167,1.04,971,838,28,30.01
367,0,0,164,1.84,940,847,28,27.95
340,0,0,178,0.51,931,839,28,28.24
371,0,0,165,1.85,1000,810,28,27.07
368,0,0,176,0.77,988,805,28,26.38
328,0,0,164,1.64,942,886,28,33.93
360,0,0,178,1.08,914,858,28,30.11
380,0,0,168,1.9,903,868,28,28.24
381,0,0,172,1.91,940,815,28,27.75
383,0,0,175,0.766,905,846,28,28.34
383,0,0,175,1.915,888,863,28,27.65
393,0,0,183,1.179,981,759,28,29.13
383,0,0,179,1.149,862,879,28,27.36
370,0,0,173,1.11,878,889,28,26.77
389,0,0,183,1.167,962,778,28,26.18
389,0,0,184,1.167,962,778,28,24.81
360,0,0,172,1.08,965,794,28,27.16
378,0,0,183,1.13,924,818,28,28.64
350,0,0,175,1.05,955,804,28,29.22
381,0,0,182,0.8,956,812,28,25.69
385,0,0,184,1.16,922,812,28,27.07
383,0,0,184,1.15,924,810,28,27.26
378,0,0,183,1.13,923,807,28,27.75
381,0,0,185,1.91,946,800,28,28.15
401,0,0,184,2.01,978,754,28,30.69
378,0,0,183,1.134,902,807,28,28.54
348,0,0,169,1.74,902,882,28,31.28
370,0,0,181,1.11,887,866,28,30.99
364,0,0,181,1.09,874,865,28,31.09
342,0,0,171,1.71,913,885,28,30.2
400,0,0,179,2.8,894,835,28,29.62
397,0,0,180,2.78,939,790,28,29.62
447,0,0,176,1.34,970,760,28,28.83
450,0,0,184,1.35,977,713,28,29.32
436,0,0,183,0.87,889,804,28,29.22
413,0,0,183,0.87,956,783,28,28.73
414,0,0,187,1.24,883,818,28,28.93
410,0,0,168,2.05,936,811,28,32.66
413,0,0,183,1.24,900,780,28,33.64
413,0,0,183,1.24,914,783,28,31.77
453,0,0,184,1.586,983,704,28,30.4
422,0,0,175,0.844,937,782,28,30.89
424,0,0,180,1.272,891,813,28,30.4
421,0,0,180,0.85,927,784,28,29.42
420,0,0,183,1.26,920,785,28,30.11
390,0,0,171,1.17,969,768,28,30.01
413,0,0,183,1.24,921,780,28,29.52
413,0,0,183,1.24,923,791,28,30.3
405,0,0,196,0.61,879,786,28,30.11
416,0,0,182,2.08,954,771,28,30.2
424,0,0,187,1.27,882,812,28,29.62
412,0,0,189,1.65,947,730,28,30.3
411,0,0,189,1.44,951,732,28,30.11
